3000,0
3333,1
3666,2
4000,3
4333,2
4666,1
5000,0
5333,1
5666,2
6000,3
6333,2
6666,1
7000,0
7333,1
7666,2
8000,3
8333,2
8666,1
9000,0
9333,1
9666,2
10000,3
10333,3
10666,2
11000,1
11333,0
11666,0
12000,1
12333,2
12666,3
13000,2
13333,1
13666,0
14000,1
14333,2
14666,3
15000,2
15333,1
15666,0
16000,1
16333,2
16666,3
17000,3
17333,2
17666,1
18000,0
18333,1
18666,2
19000,3
19333,2
19666,1
20000,0
20333,1
20666,2
21000,3
21333,2
21666,1
22000,0
22333,0
22666,1
23000,2
23333,3
23666,2
24000,1
24333,0
24666,1
25000,2
25333,3
25666,2
26000,1
26333,0
26666,1
27000,2
27333,3
27666,2
28000,1
28333,0
28666,0
29000,1
29333,2
29666,3
30000,2
30333,1
30666,0
31000,1
31333,2
31666,3
32000,2
32333,1
32666,0
33000,1
33333,2
33666,3
34000,2
34333,1
34666,0
35000,0
35333,1
35666,2
36000,3
36333,2
36666,1
37000,0
37333,1
37666,2
38000,3
38333,2
38666,1
39000,0
39333,1
39666,2
40000,3
40333,2
40666,1
41000,0
41333,0
41666,1
42000,2
42333,3
42666,2
43000,1
43333,0
43666,1
44000,2
44333,3
44666,2
45000,1
45333,0
45666,1
46000,2
46333,3
46666,2
47000,1
47333,0
47666,0
48000,1
48333,2
48666,3
49000,2
49333,1
49666,0
50000,1
50333,2
50666,3
51000,2
51333,1
51666,0
52000,1
52333,2
52666,3
53000,2
53333,1
53666,0
54000,0
54333,1
54666,2
55000,3
55333,2
55666,1
56000,0
56333,1
56666,2
57000,3
57333,2
57666,1
58000,0
58333,1
58666,2
59000,3
59333,2
59666,1
60000,0
60333,0
60666,1
61000,2
61333,3
61666,2
62000,1
62333,0
62666,1
63000,2
63333,3
63666,2
64000,1
64333,0
64666,1
65000,2
65333,3
65666,2
66000,1
66333,0
66666,0
67000,1
67333,2
67666,3
68000,2
68333,1
68666,0
69000,1
69333,2
69666,3
70000,2
70333,1
70666,0
71000,1
71333,2
71666,3
72000,2
72333,1
72666,0
73000,0
73333,1
73666,2
74000,3
74333,2
74666,1
75000,0
75333,1
75666,2
76000,3
76333,2
76666,1
77000,0
77333,1
77666,2
78000,3
78333,2
78666,1
79000,0
79333,0
79666,1
80000,2
80333,3
80666,2
81000,1
81333,0
81666,1
82000,2
82333,3
82666,2
83000,1
83333,0
83666,1
84000,2
84333,3
84666,2
85000,1
85333,0
85666,0
86000,1
86333,2
86666,3
87000,2
87333,1
87666,0
88000,1
88333,2
88666,3
89000,2
89333,1
89666,0
90000,1
90333,2
90666,3
91000,2
91333,1
91666,0
